"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2019","7,781.46","7,450.81","7,851.98","7,422.44","3.43B","5.46%"
"03/01/2019","7,378.77","7,152.08","7,505.41","6,940.72","4.21B","3.96%"
"02/01/2019","7,097.52","6,872.73","7,161.73","6,836.70","3.48B","2.76%"
"01/01/2019","6,906.84","6,198.68","6,936.34","6,139.40","4.64B","9.11%"
"12/01/2018","6,329.97","7,106.84","7,106.99","5,895.12","4.69B","-8.91%"
"11/01/2018","6,949.01","6,980.79","7,205.96","6,442.36","4.36B","-0.26%"
"10/01/2018","6,967.10","7,673.00","7,700.56","6,574.74","4.87B","-8.66%"
"09/01/2018","7,627.65","7,629.34","7,657.80","7,400.99","3.48B","-0.35%"
"08/01/2018","7,654.55","7,269.20","7,691.10","7,221.35","3.34B","5.84%"
"07/01/2018","7,231.98","6,979.54","7,511.39","6,969.16","3.27B","2.72%"
"06/01/2018","7,040.80","7,010.08","7,309.99","6,950.23","3.93B","1.05%"
"05/01/2018","6,967.73","6,592.93","7,016.42","6,539.86","3.58B","5.48%"
"04/01/2018","6,605.57","6,528.23","6,856.96","6,322.60","3.70B","0.37%"
"03/01/2018","6,581.13","6,862.94","7,186.09","6,410.04","4.34B","-3.99%"
"02/01/2018","6,854.42","6,910.57","7,003.14","6,164.43","4.03B","-1.38%"
"01/01/2018","6,949.99","6,431.59","7,022.97","6,417.75","3.55B","8.65%"
"12/01/2017","6,396.42","6,325.61","6,522.70","6,234.22","3.30B","0.48%"
"11/01/2017","6,365.56","6,274.26","6,426.04","6,194.58","3.32B","1.87%"
"10/01/2017","6,248.56","5,988.96","6,258.42","5,955.83","3.21B","4.50%"
"09/01/2017","5,979.30","6,001.82","6,012.95","5,839.89","3.11B","-0.16%"
"08/01/2017","5,988.60","5,900.64","5,995.44","5,750.50","3.27B","1.84%"
"07/01/2017","5,880.33","5,680.36","5,995.77","5,579.64","2.96B","4.13%"
"06/01/2017","5,646.92","5,804.16","5,897.69","5,599.44","4.26B","-2.45%"
"05/01/2017","5,788.80","5,602.44","5,813.26","5,568.47","3.44B","3.68%"
"04/01/2017","5,583.53","5,440.20","5,600.00","5,353.59","2.69B","2.71%"
"03/01/2017","5,436.23","5,368.65","5,451.50","5,316.02","3.44B","1.99%"
"02/01/2017","5,330.31","5,157.83","5,358.53","5,128.76","2.87B","4.17%"
